	 	No_Result
4 6 7 8 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 1 5 8 3	8.817	Non Essential Divided
4 6 1 5 8 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 1 5 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 1 8 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 5 8 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 1 5 8 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 1 5 8 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 1 5 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 1 8 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 5 8 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 1 5 8 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7 1 5 8 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7 1 5 8 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7 1 5 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7 1 8 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 7 5 8 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
6 1 5 8 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
7 1 5 8 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 7 1 5 8 3	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 7 1 5 8 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 7 1 5 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 7 1 8 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 7 5 8 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 6 1 5 8 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
4 7 1 5 8 3 2	13.89	DNA/RNA/Protein/Metabolic NoDivision
